CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.54] [-8.84] [-4.25] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.53] [-8.66] [-4.60] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.53] [-8.66] [-4.60] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.53] [-8.66] [-4.60] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.52] [-8.48] [-4.92] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.52] [-8.48] [-4.92] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.52] [-8.48] [-4.92] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.51] [-8.10] [-5.53] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.51] [-8.10] [-5.53] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.51] [-8.10] [-5.53] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-7.88] [-5.83] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-7.88] [-5.83] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-7.88] [-5.83] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-7.67] [-6.12] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-7.67] [-6.12] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-7.67] [-6.12] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.49] [-7.43] [-6.40] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
