CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11789.20 Y:5796.18 Z:-6387.52 | PC:65
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11849.76 Y:5825.97 Z:-6420.36 | PC:65
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11910.32 Y:5855.76 Z:-6453.21 | PC:65
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11970.88 Y:5885.55 Z:-6486.05 | PC:66
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12031.44 Y:5915.33 Z:-6518.90 | PC:66
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12092.00 Y:5945.12 Z:-6551.74 | PC:66
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12152.56 Y:5974.91 Z:-6584.58 | PC:67
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12213.12 Y:6004.69 Z:-6617.43 | PC:67
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12273.68 Y:6034.48 Z:-6650.27 | PC:67
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12334.24 Y:6064.27 Z:-6683.12 | PC:68
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12394.80 Y:6094.06 Z:-6715.96 | PC:68
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12455.36 Y:6123.84 Z:-6748.81 | PC:68
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12515.92 Y:6153.63 Z:-6781.65 | PC:69
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12576.48 Y:6183.42 Z:-6814.50 | PC:69
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12637.04 Y:6213.20 Z:-6847.34 | PC:69
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12697.61 Y:6242.99 Z:-6880.19 | PC:70
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12758.17 Y:6272.78 Z:-6913.03 | PC:70
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12818.73 Y:6302.57 Z:-6945.88 | PC:70
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12879.29 Y:6332.35 Z:-6978.72 | PC:71
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:12939.85 Y:6362.14 Z:-7011.57 | PC:71
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13000.41 Y:6391.93 Z:-7044.41 | PC:71
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13060.97 Y:6421.71 Z:-7077.26 | PC:72
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13121.53 Y:6451.50 Z:-7110.10 | PC:72
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13182.09 Y:6481.29 Z:-7142.95 | PC:73
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13242.65 Y:6511.08 Z:-7175.79 | PC:73
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13303.21 Y:6540.86 Z:-7208.63 | PC:73
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13363.77 Y:6570.65 Z:-7241.48 | PC:74
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13424.33 Y:6600.44 Z:-7274.32 | PC:74
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13484.89 Y:6630.22 Z:-7307.17 | PC:74
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:13545.45 Y:6660.01 Z:-7340.01 | PC:75
