CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [5.56] [7.95] [-2.87] [Integral G] X:-1966.40 Y:7316.17 Z:11936.27 | PC:36.00
[Immediate] [6.58] [5.68] [-5.30] [Integral G] X:-1352.41 Y:8021.93 Z:11533.36 | PC:36.00
[Immediate] [7.53] [2.89] [-6.30] [Integral G] X:-649.97 Y:8473.62 Z:10936.06 | PC:37.00
[Immediate] [8.40] [0.14] [-5.89] [Integral G] X:159.72 Y:8635.09 Z:10318.09 | PC:37.00
[Immediate] [8.33] [-2.31] [-5.51] [Integral G] X:1009.23 Y:8534.96 Z:9737.77 | PC:37.00
[Immediate] [8.31] [-4.32] [-4.13] [Integral G] X:1844.90 Y:8196.37 Z:9233.98 | PC:38.00
[Immediate] [8.40] [-5.49] [-2.08] [Integral G] X:2692.68 Y:7700.58 Z:8915.49 | PC:38.00
[Immediate] [7.91] [-6.48] [0.25] [Integral G] X:3520.82 Y:7094.72 Z:8817.77 | PC:38.00
[Immediate] [7.27] [-6.46] [3.02] [Integral G] X:4284.72 Y:6429.46 Z:8983.43 | PC:39.00
[Immediate] [6.53] [-5.32] [5.66] [Integral G] X:4988.78 Y:5829.47 Z:9422.02 | PC:39.00
[Immediate] [5.24] [-3.16] [8.02] [Integral G] X:5582.51 Y:5393.05 Z:10122.05 | PC:39.00
[Immediate] [3.89] [0.05] [9.23] [Integral G] X:6041.98 Y:5229.43 Z:11005.56 | PC:40.00
[Immediate] [2.53] [2.96] [9.14] [Integral G] X:6372.49 Y:5382.48 Z:11941.21 | PC:40.00
[Immediate] [-0.23] [5.84] [7.83] [Integral G] X:6489.46 Y:5842.76 Z:12806.76 | PC:40.00
[Immediate] [-3.07] [7.57] [5.02] [Integral G] X:6306.82 Y:6541.15 Z:13451.63 | PC:41.00
[Immediate] [-5.10] [7.73] [2.20] [Integral G] X:5886.06 Y:7326.40 Z:13806.93 | PC:41.00
[Immediate] [-7.33] [5.90] [-0.00] [Integral G] X:5249.47 Y:8022.38 Z:13905.18 | PC:41.00
[Immediate] [-8.88] [2.75] [-0.99] [Integral G] X:4421.54 Y:8441.41 Z:13830.85 | PC:42.00
[Immediate] [-9.31] [-0.13] [-0.08] [Integral G] X:3493.44 Y:8557.61 Z:13773.26 | PC:42.00
[Immediate] [-8.57] [-3.00] [2.12] [Integral G] X:2582.31 Y:8381.19 Z:13880.73 | PC:42.00
[Immediate] [-6.38] [-4.76] [5.02] [Integral G] X:1834.44 Y:7954.24 Z:14257.98 | PC:43.00
[Immediate] [-2.96] [-6.13] [6.79] [Integral G] X:1357.06 Y:7396.24 Z:14869.08 | PC:43.00
[Immediate] [0.87] [-6.28] [7.51] [Integral G] X:1225.27 Y:6756.98 Z:15592.32 | PC:43.00
[Immediate] [4.68] [-4.60] [7.59] [Integral G] X:1492.09 Y:6190.80 Z:16366.20 | PC:44.00
[Immediate] [7.68] [-3.48] [5.79] [Integral G] X:2109.83 Y:5772.32 Z:17057.89 | PC:44.00
[Immediate] [9.70] [-1.82] [3.10] [Integral G] X:2987.75 Y:5494.36 Z:17524.97 | PC:44.00
[Immediate] [10.38] [0.33] [-0.23] [Integral G] X:4012.80 Y:5410.66 Z:17682.40 | PC:45.00
[Immediate] [9.46] [2.69] [-3.17] [Integral G] X:5028.43 Y:5555.49 Z:17506.29 | PC:45.00
[Immediate] [7.24] [5.60] [-4.53] [Integral G] X:5885.28 Y:5972.12 Z:17109.75 | PC:45.00
[Immediate] [3.82] [8.04] [-4.58] [Integral G] X:6454.33 Y:6665.12 Z:16634.69 | PC:46.00
[Immediate] [0.47] [9.18] [-3.58] [Integral G] X:6662.25 Y:7538.94 Z:16200.86 | PC:46.00
[Immediate] [-2.05] [9.44] [-0.18] [Integral G] X:6576.96 Y:8493.64 Z:16016.29 | PC:46.00
[Immediate] [-4.71] [7.99] [2.18] [Integral G] X:6233.99 Y:9386.23 Z:16123.66 | PC:47.00
[Immediate] [-6.89] [5.30] [3.55] [Integral G] X:5634.82 Y:10054.38 Z:16429.17 | PC:47.00
[Immediate] [-8.09] [2.81] [3.71] [Integral G] X:4869.19 Y:10452.52 Z:16805.35 | PC:47.00
[Immediate] [-8.91] [0.79] [2.52] [Integral G] X:4005.27 Y:10623.57 Z:17122.42 | PC:48.00
[Immediate] [-9.25] [-0.20] [1.01] [Integral G] X:3082.00 Y:10638.30 Z:17288.60 | PC:48.00
[Immediate] [-9.28] [-0.40] [0.43] [Integral G] X:2145.96 Y:10603.41 Z:17357.70 | PC:48.00
[Immediate] [-9.27] [0.53] [-0.78] [Integral G] X:1207.55 Y:10602.26 Z:17335.65 | PC:49.00
[Immediate] [-9.11] [1.84] [-0.86] [Integral G] X:280.51 Y:10734.02 Z:17239.18 | PC:49.00
[Immediate] [-9.04] [2.28] [0.02] [Integral G] X:-634.69 Y:10949.34 Z:17200.17 | PC:49.00
[Immediate] [-8.84] [2.66] [1.29] [Integral G] X:-1538.03 Y:11201.59 Z:17270.27 | PC:50.00
[Immediate] [-8.72] [1.92] [2.63] [Integral G] X:-2420.38 Y:11449.23 Z:17478.38 | PC:50.00
[Immediate] [-8.73] [0.65] [3.18] [Integral G] X:-3302.44 Y:11589.10 Z:17770.25 | PC:50.00
[Immediate] [-8.65] [-0.71] [3.36] [Integral G] X:-4179.94 Y:11596.71 Z:18105.30 | PC:51.00
[Immediate] [-8.74] [-1.81] [2.66] [Integral G] X:-5056.14 Y:11471.18 Z:18420.26 | PC:51.00
[Immediate] [-9.01] [-1.95] [1.29] [Integral G] X:-5951.01 Y:11271.36 Z:18625.04 | PC:51.00
[Immediate] [-9.21] [-1.35] [0.28] [Integral G] X:-6871.05 Y:11095.63 Z:18701.29 | PC:52.00
[Immediate] [-9.31] [0.18] [0.03] [Integral G] X:-7807.58 Y:11028.05 Z:18708.03 | PC:52.00
